,document,wcount,type,category,B-apellido_actor,B-nombre_actor,B-nombre_demandado,B-apellido_demandado,B-nombre_autorizado,B-apellido_autorizado,B-num_expediente,B-nombre_otro,B-apellido_otro,B-num_juzgado
0,19f078df66a8ed299e33fce0ed0d62b5,97,Solicitud de copias certificadas,Escrito de juzgado,0,0,0,0,0,0,0,0,0,0
1,040a391225529e75ce499a96226373ec,97,Solicitud de copias certificadas,Promoción,0,0,1,1,0,0,0,1,1,0
2,3d17bb507194fe62a85e9981e75247e4,363,Contestación de demanda,Escrito de juzgado,0,0,0,0,0,0,0,1,1,0
3,04a6cf7d31a848a9f3a3aeeb72a04eae,860,Contestación de demanda,Promoción,1,1,0,0,0,0,0,2,1,0
4,0af70ebcb30633e15d9e7d999849b9e4,370,Contestación de demanda,Promoción,0,0,0,0,0,0,0,0,1,1
5,2a9baa376b8d8a60fd71afdbf93b79b8,1247,Contestación de demanda,Escrito de juzgado,4,3,8,8,37,37,3,0,0,3
6,8f49de4de996eea88f73416dd144d54e,10538,Contestación de demanda,Escrito de tercero,9,11,5,4,5,5,0,4,3,1
7,520828d4aeab063a1d8f26e4bed1a4a8,3053,Contestación de demanda,Escrito de tercero,12,8,1,1,0,0,0,2,2,0
8,03b7c088c3d5ba1dbe21161b7b875abd,976,Contestación de demanda,Promoción,2,2,2,2,0,1,1,1,2,3
9,448a621cd02981b1811e9badb292241c,368,Contestación de demanda,Promoción,2,2,1,1,54,55,1,0,0,2
10,d0223e4df5a86e0f07ebb84432062b44,1728,Contestación de demanda,Promoción,1,2,0,0,36,38,1,0,0,3
11,197539a03a9e8dbb3e3e20274270a909,640,Contestación de demanda,Promoción,1,2,0,0,1,1,1,3,3,1
12,994c90c239b97bfd1cee3d20695eb740,8394,Contestación de demanda,Promoción,10,11,13,13,1,1,1,4,5,1
13,fb15af27d8e57c91aa42d72518091819,2053,Contestación de demanda,Promoción,1,1,7,5,8,9,1,6,3,1
14,15d8d345477c2e037a54acc7769289f7,611,Manifestación de parte,Promoción,3,3,6,6,0,0,3,6,6,0
15,fe0ab1ade9b7b70e0b10b2b5239143f3,49,Manifestación de parte,Promoción,0,0,0,0,0,0,0,0,0,0
16,2d56cbed41c58c294c0373a9877f71ec,551,Manifestación de parte,Anexo,6,6,4,4,0,0,0,0,0,4
17,9ef4a2ddb43ab847a408df10c1779383,707,Manifestación de parte,Promoción,2,2,2,4,0,0,2,4,4,2
18,ecda3c5b9f73fd52b9c59ecf223a17b7,1338,Manifestación de parte,Promoción,2,1,4,4,0,0,1,5,7,0
19,211ee003173744eaabd270d00380a519,786,Manifestación de parte,Promoción,1,2,1,1,0,0,1,0,0,1
20,b0e545a4380628a8f115f3d8845bd65d,292,Manifestación de parte,Promoción,2,1,2,2,0,0,1,2,2,1
21,8e2d308d5f99ecc6dbf4b0d19ff6eee9,234,Consignación billete de deposito,Escrito de juzgado,1,1,0,0,0,0,3,2,2,7
22,1867c4019d856f966844823a5c800570,223,Consignación billete de deposito,Escrito de juzgado,1,1,0,0,0,0,3,2,2,7
23,7f0cd08c3a08763c1dec63442d80faf0,233,Consignación billete de deposito,Escrito de juzgado,1,1,0,0,0,0,3,2,2,7
24,6504ceffde5a4a2da59659f5c2e01f37,232,Consignación billete de deposito,Escrito de juzgado,1,1,0,0,0,0,3,2,2,7
25,719334adceddbe07b30fd77bc0d54d18,243,Consignación billete de deposito,Escrito de juzgado,1,1,0,0,0,0,3,2,2,7
26,41f367c3704d17b4b0326ac2b2e55229,236,Consignación billete de deposito,Escrito de juzgado,1,1,0,0,0,0,3,2,2,7
27,48e92ecb5e6ac9f004e211d636b4fd94,1740,Contestación de demanda,Promoción,8,8,3,3,35,35,1,4,3,1
